,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,GeoRefNo,Prop_Addr,Latitude,Longitude,RemodScore,MaintenanceNeedScore,InteriorBusiness_Score
267,902402260,1086,55000,70,RM,60,11340,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,2,1,1920,1950,Gable,CompShg,AsbShng,AsbShng,,0,Fa,3,BrkTil,Fa,3,No,Unf,0,Unf,0,723,723,GasA,TA,N,SBrkr,723,363,0,0,0,1,0,2,1,TA,5,Maj1,0,,Detchd,1920,Unf,2,400,Fa,4,N,0,24,144,0,0,0,,,,0,11,2008,ConLD,Normal,902402260,822 CARROLL AVE,42.02927821,-93.608717,6,3.8,1.4
1977,909101070,864,58500,30,RL,45,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,,0,TA,3,BrkTil,TA,3,No,Rec,203,Unf,0,661,864,GasA,TA,N,FuseF,864,0,0,1,0,1,0,2,1,TA,5,Typ,0,,Detchd,1938,Unf,1,200,TA,3,Y,0,0,96,0,0,0,,,,0,6,2010,WD ,Normal,909101070,2908 WOOD ST,42.02208232,-93.65690512,6,3.6,1.6
205,903484080,1484,50000,50,RM,60,10320,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,4,1,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0,Fa,3,CBlock,TA,3,No,Unf,0,Unf,0,771,771,GasA,Fa,Y,SBrkr,866,504,114,0,0,2,0,3,1,TA,6,Sal,0,,Detchd,1910,Unf,1,264,TA,3,N,14,211,0,0,84,0,,,,0,9,2007,COD,Abnorml,903484080,1003 LINCOLN WAY,42.02295798,-93.62398131,6,3.6,2.066666667
1050,902301120,1928,137000,190,RM,69,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,,0,TA,3,Stone,Fa,2,No,Unf,0,Unf,0,1020,1020,GasA,Gd,N,FuseP,908,1020,0,0,0,2,0,4,2,Fa,9,Typ,0,,Detchd,1910,Unf,1,440,Po,4,Y,0,60,112,0,0,0,,,,0,4,2006,WD ,Normal,902301120,820 WILSON AVE,42.02921671,-93.61826257,6,3.5,2.6
1622,531477020,841,82000,20,RH,60,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,,0,Fa,3,CBlock,TA,3,No,Unf,0,Unf,0,721,721,GasA,Gd,Y,SBrkr,841,0,0,0,0,1,0,2,1,TA,4,Typ,0,,CarPort,1950,Unf,1,294,TA,2,N,250,0,24,0,0,0,,,,0,9,2009,WD ,Normal,531477020,1515 NORTH DAKOTA AVE,42.036558,-93.678898,6,3.4,1.6
1801,905480090,1362,96000,50,RL,50,7550,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1920,1950,Gambrel,CompShg,MetalSd,MetalSd,,0,Fa,3,BrkTil,TA,3,No,Unf,0,Unf,0,951,951,GasW,Fa,N,SBrkr,986,376,0,0,0,2,0,4,1,TA,7,Typ,0,,Detchd,1920,Unf,1,280,Fa,2,P,0,0,0,0,0,0,,MnPrv,,0,3,2007,WD ,Normal,905480090,3022 STORY ST,42.02367946,-93.65884227,6,3.4,1.7
2373,902106120,1022,89500,30,RM,56,4480,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1922,1950,Gable,CompShg,AsbShng,AsbShng,,0,TA,2,PConc,Fa,3,No,LwQ,782,Unf,0,240,1022,GasA,TA,N,FuseF,1022,0,0,1,0,1,0,2,1,Fa,4,Typ,1,Gd,Detchd,1922,Unf,1,184,TA,3,N,0,122,20,0,0,0,,MnPrv,,0,2,2007,WD ,Normal,902106120,1004 GRAND AVE,42.03142439,-93.62020749,6,3.3,1.733333333
520,905480240,1111,95000,50,RL,60,9084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,,0,TA,2,CBlock,TA,3,Mn,LwQ,236,Rec,380,0,616,GasA,TA,N,SBrkr,616,495,0,0,1,1,0,3,1,TA,5,Typ,0,,Detchd,1941,Unf,1,200,TA,3,Y,48,0,0,0,0,0,,,,0,3,2008,ConLw,Normal,905480240,3121 LINCOLN WAY,42.0228406,-93.66017316,6,3.3,1.6
1336,911226030,864,65000,70,C (all),60,9000,Grvl,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0,TA,2,Stone,Fa,3,Mn,Unf,0,Unf,0,592,592,GasA,Ex,Y,SBrkr,432,432,0,0,0,1,1,3,1,Fa,5,Min2,0,,Detchd,1920,Unf,1,216,Fa,3,N,0,30,160,0,0,0,,,,0,6,2008,WD ,Normal,911226030,116 CHERRY AVE,42.02253089,-93.60415665,6,3.3,1.533333333
740,911102170,1317,40000,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0,TA,3,BrkTil,TA,2,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920,Unf,1,250,TA,3,N,0,54,172,0,0,0,,MnPrv,,0,7,2008,WD ,Normal,911102170,208 S WALNUT AVE,42.02140363,-93.61680909,6,3.3,1.9
